work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_2080878,user-118395,I Am Groot,sherlocksmyth,"['Guardians of the Galaxy - All Media Types', 'Marvel', 'Marvel (Movies)', 'Marvel (Comics)', 'Guardians of the Galaxy (Comics)']",Explicit,['Choose Not To Use Archive Warnings'],['No category'],Complete Work,04 Aug 2014,['No Relationship Tags'],['Groot (Marvel)'],['No Freeform Tags'],No summary,English,1308,1/1,3992,127483,5079,995634
work_10057010,user-2878526,All the Young Dudes,MsKingBean89,['Harry Potter - J. K. Rowling'],Mature,"['No Archive Warnings Apply', 'Major Character Death', 'Graphic Depictions Of Violence']",['M/M'],Complete Work,12 Nov 2018,"['Sirius Black/Remus Lupin', 'Sirius Black & Remus Lupin', 'James Potter/Lily Evans Potter']","['Remus Lupin', 'Sirius Black', 'James Potter', 'Lily Evans Potter', 'Peter Pettigrew', 'Severus Snape', 'Minerva McGonagall', 'Bellatrix Black Lestrange', 'Narcissa Black Malfoy', 'Albus Dumbledore', 'Mulciber Sr. (Harry Potter)', 'Horace Slughorn', 'Mary Macdonald', 'Marlene McKinnon', 'Poppy Pomfrey', 'Walburga Black', 'Regulus Black', 'Fenrir Greyback']","[""Marauders' Era"", 'Marauders', 'Marauders Friendship', 'wolfstar', 'Get Together', 'Slow Burn', 'so slow', ""it's slow"", 'seriously', 'Complete', 'Canon Compliant', 'Angst', 'Fluff', 'Fluff and Angst', 'Requited Love', 'Canonical Character Death', 'First War with Voldemort', 'First Kiss']",No summary,English,526969,188/188,26966,122785,24991,8338265
work_28755084,user-1812475,passerine,blujamas,['Dream SMP'],Teen And Up Audiences,"['Major Character Death', 'Graphic Depictions Of Violence']",['Gen'],Complete Work,09 Apr 2021,"['Wilbur Soot & Technoblade', 'Technoblade & Phil Watson (Video Blogging RPF)', 'Technoblade & TommyInnit (Video Blogging RPF)', 'Wilbur Soot & Technoblade & TommyInnit & Phil Watson', 'Wilbur Soot & TommyInnit']","['Wilbur Soot', 'Phil Watson (Video Blogging RPF)', 'Technoblade (Video Blogging RPF)', 'TommyInnit (Video Blogging RPF)', 'Cara | CaptainPuffy', 'Niki | Nihachu', 'Toby Smith | Tubbo', 'Sapnap (Video Blogging RPF)']","['Alternate Universe - Royalty', 'Found Family', 'But make it', 'Angst', 'Sleepy Bois Inc. (Video Blogging RPF) - Freeform', 'tommy and wilbur are princes and technoblade is a feral god that philza picked up from the woods', 'thats it thats the fic', ""mentions of techno's voices"", 'wilbur also has voices', 'techno decides to help', 'because he has nothing better to do or so he says', 'no beta we die like lmanberg', 'Hurt/Comfort', 'Character Death']",No summary,English,76375,7/7,5959,81586,16345,2908904
work_8337607,user-114273,Yesterday Upon The Stair,PitViperOfDoom,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],Teen And Up Audiences,['Graphic Depictions Of Violence'],['Gen'],Complete Work,12 Oct 2019,"['Midoriya Izuku & Yagi Toshinori | All Might', 'Midoriya Izuku & Todoroki Shouto', 'Midoriya Izuku & Uraraka Ochako', 'Iida Tenya & Midoriya Izuku', 'Sir Nighteye & Yagi Toshinori | All Might', 'Midoriya Izuku & Toogata Mirio']","['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Midoriya Inko', 'Shimura Nana', 'Bakugou Katsuki', 'Todoroki Shouto', 'Uraraka Ochako', 'Iida Tenya', 'Iida Tensei | Ingenium', 'Eri (My Hero Academia)', 'Chisaki Kai | Overhaul', 'Sir Nighteye (My Hero Academia)', 'Toogata Mirio']","['Alternate Universe - Canon Divergence', 'BAMF Midoriya Izuku', 'Parental Yagi Toshinori | All Might', 'The Sixth Sense AU', 'Bakugou Katsuki Swears A Lot', 'Izuku Sees Dead People', 'Queerplatonic Relationships', 'Midoriya Izuku Has a Quirk', 'Platonic Slow Burn', 'platonic tododeku', 'Panic Attacks', 'past trauma', 'Body Horror', 'Character Death', 'Temporary Character Death', 'Implied/Referenced Child Abuse', ""Todoroki Enji | Endeavor's Bad Parenting""]",No summary,English,424070,60/60,21609,76073,18326,2455112
work_5096105,user-1587650,In Another Life,LittleLuxray,['Haikyuu!!'],Teen And Up Audiences,['Major Character Death'],['M/M'],Complete Work,28 Oct 2015,['Akaashi Keiji/Bokuto Koutarou'],"['Akaashi Keiji', 'Bokuto Koutarou', 'Kozume Kenma', 'Kuroo Tetsurou']","['Angst', 'Fluff and Angst', 'Alternate Universe - Hospital', 'Bokuaka - Freeform', ""I'm sorry I wrote this"", ""I'm Sorry"", 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'Haikyuu - Freeform', 'Hospitals', 'i am weak', 'cloud atlas references']",No summary,English,22995,1/1,5951,69596,13010,2534839
work_5457191,user-152374,a reylo fic,treezie,"['Star Wars - All Media Types', 'Star Wars Episode VII: The Force Awakens (2015)']",General Audiences,['No Archive Warnings Apply'],['F/M'],Complete Work,19 Dec 2015,['Kylo Ren/Rey (Star Wars)'],"['Kylo Ren', 'Rey (Star Wars)']",['stan loona'],No summary,English,12,1/1,8362,55831,2082,360094
work_10998828,user-114273,"count your blessings, not your flaws",PitViperOfDoom,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,25 May 2017,['Midoriya Izuku/Todoroki Shouto'],"['Midoriya Izuku', 'Todoroki Shouto', 'Uraraka Ochako', 'Iida Tenya', 'Yaoyorozu Momo', 'Asui Tsuyu', 'Sero Hanta', 'Class 1-A (My Hero Academia)', 'Yagi Toshinori | All Might']","['Misunderstandings', 'Bullying', 'Angst with a Happy Ending', 'Love Confessions', 'Emotional Hurt/Comfort', 'Mutual Pining', ""Usually Todoroki's the one whose past gets in the way of his happiness"", ""but now it's Midoriya's turn""]",No summary,English,7457,1/1,1233,53898,9586,349580
work_234222,user-6004,Then Comes a Mist and a Weeping Rain,Faith Wood (faithwood),['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,04 Aug 2011,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Gregory Goyle', 'Millicent Bulstrode', 'Ernie Macmillan', 'Hermione Granger', 'Ron Weasley']","['Humor', 'Romance', 'Hogwarts Eighth Year', 'HP: EWE', 'Post - Deathly Hallows']",No summary,English,21139,1/1,924,53035,10305,634355
work_22080895,user-5457283,Deku? I think he's some pro...,Clouds (myheadinthecoudsnotcomingdown),['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],General Audiences,['No Archive Warnings Apply'],"['Gen', 'F/M', 'M/M']",Complete Work,13 Jul 2021,"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Fukukado Emi | Ms. Joke', 'Midoriya Izuku & Sasaki Mirai | Sir Nighteye', 'Fukukado Emi | Ms. Joke & Midoriya Izuku', 'Aizawa Shouta | Eraserhead/Fukukado Emi | Ms. Joke', 'Bakugo Katsuki/Consequences', 'Bakugo Katsuki & Inui Ryou | Hound Dog', 'Bakugou Katsuki/Kirishima Eijirou', 'everyone/therapy', 'I keep changing my mind', ""don't be suprised if things keep changing"", 'Midoriya Izuku/Uraraka Ochako']","['Midoriya Izuku', 'Midoriya Inko', 'Fukukado Emi | Ms. Joke', 'Sasaki Mirai | Sir Nighteye', 'Mr. Brave (My Hero Academia)', 'Bakugou Katsuki', 'Monoma Neito', 'Yaoyorozu Momo', 'Todoroki Shouto', 'Iida Tenya', 'Aizawa Shouta | Eraserhead', 'Nedzu (My Hero Academia)', 'Yamada Hizashi | Present Mic', 'Toogata Mirio', 'Awata Kaoruko | Bubble Girl', 'Moashi Juuzou | Centipeder', 'Shimura Nana', 'Class 1-A (My Hero Academia)', 'Kayama Nemuri | Midnight', 'Inui Ryou | Hound Dog', 'Kan Sekijirou | Vlad King', 'Shigaraki Tomura | Shimura Tenko', 'Sensei | All For One', 'Kurogiri (My Hero Academia)', 'Shinsou Hitoshi', 'Usagiyama Rumi | Miruko', 'Hadou Nejire', 'Amajiki Tamaki', 'Gran Torino (My Hero Academia)', 'Dabi (My Hero Academia)', 'Toga Himiko', 'Iguchi Shuuichi | Spinner', 'Muscular (My Hero Academia)', 'Mustard (My Hero Academia)', 'Sako Atsuhiro | Mr. Compress', 'Moonfish (My Hero Academia)']","['Quirkless Midoriya Izuku', 'Informant Midoriya Izuku', 'Smart Midoriya Izuku', 'BAMF Midoriya Izuku', 'Dadzawa', 'Parental Aizawa Shouta | Eraserhead', 'Midoriya Izuku Does Not Have One for All Quirk', 'Recommendation Student Izuku Midoriya', 'Recommendation Exam (My Hero Academia)', 'Midoriya Izuku Has A Gun', 'Toogata Mirio Has One for All Quirk', 'Manga Spoilers', 'Bakugo Katsuki goes to Therapy', ""Romance isn't the main point of this story"", 'My Hero Academia: Vigilantes References']",No summary,English,191001,94/94,18075,52213,10504,1949899
work_14446512,user-728258,Hero Class Civil Warfare,RogueDruid (Icarius51),['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],Teen And Up Audiences,"['Choose Not To Use Archive Warnings', 'No Archive Warnings Apply']","['Gen', 'Multi']",Complete Work,28 Nov 2018,"['Midoriya Izuku & Yaoyorozu Momo', 'Jirou Kyouka & Yaoyorozu Momo', 'Midoriya Izuku & Shinsou Hitoshi', 'Hatsume Mei & Midoriya Izuku', 'Midoriya Izuku & Shouji Mezou', 'Hatsume Mei & Yaoyorozu Momo', 'Midoriya Izuku & Monoma Neito']","['Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Nedzu (My Hero Academia)', 'Yamada Hizashi | Present Mic', 'Yagi Toshinori | All Might', 'Bakugou Katsuki', 'Jirou Kyouka', 'Yaoyorozu Momo', 'Monoma Neito', 'Todoroki Shouto', 'Iida Tenya', 'Tokage Setsuna', 'Shinsou Hitoshi', 'Hatsume Mei', 'Shouji Mezou', 'Uraraka Ochako']","['Bakugou Katsuki Swears A Lot', 'Hero Worship', 'Mind Games', 'Emotional Manipulation', 'Villain Midoriya Izuku', 'But its for class', 'Heroes to Villains', 'The Teachers were not prepared', 'Things get... out of hand.', 'Hacking', 'bending the rules', 'Explosions', 'Paintball', 'Car Chases', 'Demolition', 'Lies', 'Cheating Villians', 'Read the Rules You Morons', ""Otherwise it'll kick your ass"", '""We\'re Villains. We don\'t play fair""', 'Betrayal', 'backstabbing', 'Double agents who don;t know they are double agents.', 'Motorcycles', 'The Sewer Level always sucks']",No summary,English,85769,33/33,7057,50836,14565,1252491
