work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_10057010,user-2878526,All the Young Dudes,MsKingBean89,['Harry Potter - J. K. Rowling'],Mature,"['No Archive Warnings Apply', 'Major Character Death', 'Graphic Depictions Of Violence']",['M/M'],Complete Work,12 Nov 2018,"['Sirius Black/Remus Lupin', 'Sirius Black & Remus Lupin', 'James Potter/Lily Evans Potter']","['Remus Lupin', 'Sirius Black', 'James Potter', 'Lily Evans Potter', 'Peter Pettigrew', 'Severus Snape', 'Minerva McGonagall', 'Bellatrix Black Lestrange', 'Narcissa Black Malfoy', 'Albus Dumbledore', 'Mulciber Sr. (Harry Potter)', 'Horace Slughorn', 'Mary Macdonald', 'Marlene McKinnon', 'Poppy Pomfrey', 'Walburga Black', 'Regulus Black', 'Fenrir Greyback']","[""Marauders' Era"", 'Marauders', 'Marauders Friendship', 'wolfstar', 'Get Together', 'Slow Burn', 'so slow', ""it's slow"", 'seriously', 'Complete', 'Canon Compliant', 'Angst', 'Fluff', 'Fluff and Angst', 'Requited Love', 'Canonical Character Death', 'First War with Voldemort', 'First Kiss']",No summary,English,526969,188/188,26405,118356,24189,7968418
work_28755084,user-1812475,passerine,blujamas,['Dream SMP'],Teen And Up Audiences,"['Major Character Death', 'Graphic Depictions Of Violence']",['Gen'],Complete Work,09 Apr 2021,"['Wilbur Soot & Technoblade', 'Technoblade & Phil Watson (Video Blogging RPF)', 'Technoblade & TommyInnit (Video Blogging RPF)', 'Wilbur Soot & Technoblade & TommyInnit & Phil Watson', 'Wilbur Soot & TommyInnit']","['Wilbur Soot', 'Phil Watson (Video Blogging RPF)', 'Technoblade (Video Blogging RPF)', 'TommyInnit (Video Blogging RPF)', 'Cara | CaptainPuffy', 'Niki | Nihachu', 'Toby Smith | Tubbo', 'Sapnap (Video Blogging RPF)']","['Alternate Universe - Royalty', 'Found Family', 'But make it', 'Angst', 'Sleepy Bois Inc. (Video Blogging RPF) - Freeform', 'tommy and wilbur are princes and technoblade is a feral god that philza picked up from the woods', 'thats it thats the fic', ""mentions of techno's voices"", 'wilbur also has voices', 'techno decides to help', 'because he has nothing better to do or so he says', 'no beta we die like lmanberg', 'Hurt/Comfort', 'Character Death']",No summary,English,76375,7/7,5918,80683,16167,2855049
work_14454174,user-3861138,Manacled,senlinyu,['Harry Potter - J. K. Rowling'],Explicit,"['Rape/Non-Con', 'Graphic Depictions Of Violence']",['F/M'],Complete Work,19 Aug 2019,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Draco Malfoy', 'Dolores Umbridge', 'Tom Riddle | Voldemort', 'Astoria Greengrass', 'Graham Montague', 'Severus Snape']","['Post-War', 'Harry Potter Dies', 'Alternate Universe - Voldemort Wins', 'Forced Pregnancy', 'Imprisonment', 'Death Eater Draco Malfoy', 'Minor Character Death', 'Memory Loss', 'Rape/Non-con Elements', 'Eventual Romance', 'Battle', 'Rape', 'Mystery', 'Healer Hermione Granger', 'Self-Harm', 'Flashbacks', 'Slow Build', 'Angst with a Happy Ending', 'Slow Build Draco Malfoy/Hermione Granger']",No summary,English,370515,77/77,10814,43107,12174,2625900
work_5096105,user-1587650,In Another Life,LittleLuxray,['Haikyuu!!'],Teen And Up Audiences,['Major Character Death'],['M/M'],Complete Work,28 Oct 2015,['Akaashi Keiji/Bokuto Koutarou'],"['Akaashi Keiji', 'Bokuto Koutarou', 'Kozume Kenma', 'Kuroo Tetsurou']","['Angst', 'Fluff and Angst', 'Alternate Universe - Hospital', 'Bokuaka - Freeform', ""I'm sorry I wrote this"", ""I'm Sorry"", 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'Haikyuu - Freeform', 'Hospitals', 'i am weak', 'cloud atlas references']",No summary,English,22995,1/1,5926,69099,12869,2512988
work_8337607,user-114273,Yesterday Upon The Stair,PitViperOfDoom,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],Teen And Up Audiences,['Graphic Depictions Of Violence'],['Gen'],Complete Work,12 Oct 2019,"['Midoriya Izuku & Yagi Toshinori | All Might', 'Midoriya Izuku & Todoroki Shouto', 'Midoriya Izuku & Uraraka Ochako', 'Iida Tenya & Midoriya Izuku', 'Sir Nighteye & Yagi Toshinori | All Might', 'Midoriya Izuku & Toogata Mirio']","['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Midoriya Inko', 'Shimura Nana', 'Bakugou Katsuki', 'Todoroki Shouto', 'Uraraka Ochako', 'Iida Tenya', 'Iida Tensei | Ingenium', 'Eri (My Hero Academia)', 'Chisaki Kai | Overhaul', 'Sir Nighteye (My Hero Academia)', 'Toogata Mirio']","['Alternate Universe - Canon Divergence', 'BAMF Midoriya Izuku', 'Parental Yagi Toshinori | All Might', 'The Sixth Sense AU', 'Bakugou Katsuki Swears A Lot', 'Izuku Sees Dead People', 'Queerplatonic Relationships', 'Midoriya Izuku Has a Quirk', 'Platonic Slow Burn', 'platonic tododeku', 'Panic Attacks', 'past trauma', 'Body Horror', 'Character Death', 'Temporary Character Death', 'Implied/Referenced Child Abuse', ""Todoroki Enji | Endeavor's Bad Parenting""]",No summary,English,424070,60/60,21517,75127,18099,2403251
work_17849519,user-5148644,调教,xianyuxiangu,['原创 - Fandom'],Mature,['Choose Not To Use Archive Warnings'],['M/M'],Work in Progress,27 Sep 2020,['No Relationship Tags'],['No Character Tags'],"['触手', '产乳', '双性', '大奶', '强制爱', '尿道控制', '人鱼', '调教', '性奴', '捆绑', '人外', '人兽']",No summary,中文-普通话 國語,45968,1/?,7,8733,72,2292539
work_23529571,user-5457283,Viridian: The Green Guide,Clouds (myheadinthecoudsnotcomingdown),['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],Teen And Up Audiences,['Graphic Depictions Of Violence'],['Gen'],Complete Work,07 Aug 2021,"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Kaminari Denki & Midoriya Izuku', 'Bakugou Katsuki & Amplifier (My Hero Academia)', 'Bakugo Katsuki/redemption', 'Kaminari Denki/Midoriya Izuku', 'Bakugou Katsuki & Shinsou Hitoshi', 'Bakugou Katsuki/Uraraka Ochako', '(IMPLIED)']","['Midoriya Izuku', 'Midoriya Inko', 'Aizawa Shouta | Eraserhead', 'Tsukauchi Naomasa', 'Bakugou Katsuki', 'Amplifier (My Hero Academia)', 'Takagi Ken | Rock Lock', 'Kaminari Denki', 'Queen Bee (My Hero Academia)', 'Sensei | All For One', 'Shigaraki Tomura | Shimura Tenko', 'Original Characters', 'Shinsou Hitoshi', 'Todoroki Enji | Endeavor', 'Akaguro Chizome | Stain', 'Asui Tsuyu', 'Asui Beru', 'Asui Ganma', 'Asui Samidare', 'Asui Satsuki', 'Shirakumo Oboro', 'Dabi (My Hero Academia)', 'Todoroki Shouto']","['Vigilante Midoriya Izuku', 'Suicidal Midoriya Izuku', 'Passive Suicidal Ideation', ""i promise it's not as dark as it sounds"", 'Improvised weapons', 'I add tags and relationships as I write', 'Quirkless Midoriya Izuku', 'BAMF Midoriya Izuku', 'References to My Hero Academia: Vigilantes', 'trigger - Freeform', 'Parental Aizawa Shouta | Eraserhead', 'Analyst Midoriya Izuku', 'Smart Midoriya Izuku', 'Hacker Midoriya Izuku', 'Nomu - Freeform', 'Villain Factory', 'Bakugou Katsuki Redemption', 'Self-Loathing', 'Bisexual Kaminari Denki', 'Kaminari Denki is a Flirt', 'My Hero Academia: Vigilantes Spoilers', 'Info Broker Katsuki Bakugo', 'Info Broker Dabi', 'Punt Endeavor into the Sun', 'Angst', 'Cliffhangers', 'Slow Burn', 'Eventual Romance', 'but definitely not the main plot', 'Boku no Hero Academia | My Hero Academia Manga Spoilers', 'Throwing Chapter 306 Out The Window', 'Kaminari Denki Has One For All Quirk', 'Dead Todoroki Enji | Endeavor', 'Bees', 'flirting as a weapon', 'Murder', 'Human Experimentation', 'Secrets']",No summary,English,272617,120/120,26282,48049,8971,1992701
work_22080895,user-5457283,Deku? I think he's some pro...,Clouds (myheadinthecoudsnotcomingdown),['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],General Audiences,['No Archive Warnings Apply'],"['Gen', 'F/M', 'M/M']",Complete Work,14 Jul 2021,"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Fukukado Emi | Ms. Joke', 'Midoriya Izuku & Sasaki Mirai | Sir Nighteye', 'Fukukado Emi | Ms. Joke & Midoriya Izuku', 'Aizawa Shouta | Eraserhead/Fukukado Emi | Ms. Joke', 'Bakugo Katsuki/Consequences', 'Bakugo Katsuki & Inui Ryou | Hound Dog', 'Bakugou Katsuki/Kirishima Eijirou', 'everyone/therapy', 'I keep changing my mind', ""don't be suprised if things keep changing"", 'Midoriya Izuku/Uraraka Ochako']","['Midoriya Izuku', 'Midoriya Inko', 'Fukukado Emi | Ms. Joke', 'Sasaki Mirai | Sir Nighteye', 'Mr. Brave (My Hero Academia)', 'Bakugou Katsuki', 'Monoma Neito', 'Yaoyorozu Momo', 'Todoroki Shouto', 'Iida Tenya', 'Aizawa Shouta | Eraserhead', 'Nedzu (My Hero Academia)', 'Yamada Hizashi | Present Mic', 'Toogata Mirio', 'Awata Kaoruko | Bubble Girl', 'Moashi Juuzou | Centipeder', 'Shimura Nana', 'Class 1-A (My Hero Academia)', 'Kayama Nemuri | Midnight', 'Inui Ryou | Hound Dog', 'Kan Sekijirou | Vlad King', 'Shigaraki Tomura | Shimura Tenko', 'Sensei | All For One', 'Kurogiri (My Hero Academia)', 'Shinsou Hitoshi', 'Usagiyama Rumi | Miruko', 'Hadou Nejire', 'Amajiki Tamaki', 'Gran Torino (My Hero Academia)', 'Dabi (My Hero Academia)', 'Toga Himiko', 'Iguchi Shuuichi | Spinner', 'Muscular (My Hero Academia)', 'Mustard (My Hero Academia)', 'Sako Atsuhiro | Mr. Compress', 'Moonfish (My Hero Academia)']","['Quirkless Midoriya Izuku', 'Informant Midoriya Izuku', 'Smart Midoriya Izuku', 'BAMF Midoriya Izuku', 'Dadzawa', 'Parental Aizawa Shouta | Eraserhead', 'Midoriya Izuku Does Not Have One for All Quirk', 'Recommendation Student Izuku Midoriya', 'Recommendation Exam (My Hero Academia)', 'Midoriya Izuku Has A Gun', 'Toogata Mirio Has One for All Quirk', 'Manga Spoilers', 'Bakugo Katsuki goes to Therapy', ""Romance isn't the main point of this story"", 'My Hero Academia: Vigilantes References']",No summary,English,191001,94/94,18028,51434,10382,1912915
work_5076781,user-111909,The Breeding Ground,megamatt09,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],"['F/M', 'Multi']",Work in Progress,21 Sep 2022,"['Harry Potter/Ginny Weasley', 'Padma Patil/Harry Potter', 'Gabrielle Delacour/Harry Potter', 'Daphne Greengrass/Harry Potter', 'Harry Potter/Andromeda Black Tonks', 'Harry Potter/Lily Evans Potter', 'Bellatrix Black Lestrange/Harry Potter', 'Harry Potter/Nymphadora Tonks', 'Alex Danvers/Harry Potter', 'Susan Bones/Harry Potter', 'Megan Jones/Harry Potter', 'Kara Danvers/Harry Potter', 'Astoria Greengrass/Harry Potter', 'Fleur Delacour/Harry Potter', 'Katie Bell/Harry Potter', 'Angelina Johnson/Harry Potter', 'Harry Potter/Alicia Spinnet', 'Harry Potter/Sansa Stark', 'Diana (Wonder Woman)/Harry Potter', 'Harry Potter/Natasha Romanov (Marvel)', 'Harry Potter/Lily Luna Potter', 'Harry Potter/Rose Weasley', 'Hermione Granger/Harry Potter', 'Harry Potter/Buffy Summers', 'Harry Potter/Kara Zor-El', 'Sara Lance/Harry Potter', 'Harry Potter/Karen Starr', 'Barbara Gordon/Harry Potter', 'Harry Potter/Caitlin Snow', 'Harry Potter/Donna Troy', 'Lara Croft/Harry Potter', 'Harry Potter/Rowena Ravenclaw']",['No Character Tags'],"['Lemon', 'Smut', 'Shameless Smut', 'Parent/Child Incest', 'Sibling Incest', 'Older Woman/Younger Man', 'Older Man/Younger Woman', 'Threesome - F/F/M', 'Foursome - F/F/F/M', 'Incest', 'Anal Sex', 'Oral Sex', 'Foot Jobs', 'Vaginal Fingering', 'Vaginal Sex', 'Threesome', 'MILFs', 'Alien/Human Relationships', 'Harry Potter Has a Large Cock']",No summary,English,1210081,402/?,336,4234,668,1764489
work_19327990,user-5658007,【忘羡】蓝湛，我不仅要枕腿……我……还要你。,taoshengLAM,['魔道祖师-墨香铜臭'],General Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,23 Jun 2019,['蓝忘机/魏无羡'],"['魏无羡', '蓝忘机']","['魔道祖师', '忘羡 - Freeform', '魏无羡 - Freeform']",No summary,中文-普通话 國語,3470,1/1,4,6929,14,1705524
