,No Relationship Tags,Sirius Black/Remus Lupin,Sirius Black & Remus Lupin,James Potter/Lily Evans Potter,Wilbur Soot & Technoblade,Technoblade & Phil Watson (Video Blogging RPF),Technoblade & TommyInnit (Video Blogging RPF),Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Wilbur Soot & TommyInnit,Midoriya Izuku & Yagi Toshinori | All Might,Midoriya Izuku & Todoroki Shouto,Midoriya Izuku & Uraraka Ochako,Iida Tenya & Midoriya Izuku,Sir Nighteye & Yagi Toshinori | All Might,Midoriya Izuku & Toogata Mirio,Akaashi Keiji/Bokuto Koutarou,Kylo Ren/Rey (Star Wars),Midoriya Izuku/Todoroki Shouto,Draco Malfoy/Harry Potter,Aizawa Shouta | Eraserhead & Midoriya Izuku,Aizawa Shouta | Eraserhead & Fukukado Emi | Ms. Joke,Midoriya Izuku & Sasaki Mirai | Sir Nighteye,Fukukado Emi | Ms. Joke & Midoriya Izuku,Aizawa Shouta | Eraserhead/Fukukado Emi | Ms. Joke,Bakugo Katsuki/Consequences,Bakugo Katsuki & Inui Ryou | Hound Dog,Bakugou Katsuki/Kirishima Eijirou,everyone/therapy,I keep changing my mind,don't be suprised if things keep changing,Midoriya Izuku/Uraraka Ochako,Midoriya Izuku & Yaoyorozu Momo,Jirou Kyouka & Yaoyorozu Momo,Midoriya Izuku & Shinsou Hitoshi,Hatsume Mei & Midoriya Izuku,Midoriya Izuku & Shouji Mezou,Hatsume Mei & Yaoyorozu Momo,Midoriya Izuku & Monoma Neito,Kaminari Denki & Midoriya Izuku,Bakugou Katsuki & Amplifier (My Hero Academia),Bakugo Katsuki/redemption,Kaminari Denki/Midoriya Izuku,Bakugou Katsuki & Shinsou Hitoshi,Bakugou Katsuki/Uraraka Ochako,(IMPLIED),Toby Smith | Tubbo & TommyInnit,Ranboo & TommyInnit (Video Blogging RPF),Ranboo & Toby Smith | Tubbo,No Romantic Relationship(s),TommyInnit & Phil Watson (Video Blogging RPF),Ranboo & Toby Smtih | Tubbo,Ranboo & Toby Smith | Tubbo & Wilbur Soot & Technoblade & TommyInnit & Phil Watson,Derek Hale/Stiles Stilinski,Min Yoongi | Suga/Park Jimin,Hakoda & Zuko (Avatar),Zuko & The Southern Water Tribe,Zuko & Responsible Adult Role Models,Keith/Lance (Voltron),Hunk & Lance (Voltron),Keith & Pidge | Katie Holt,Keith & Shiro (Voltron),Hermione Granger/Draco Malfoy,Sherlock Holmes/John Watson,Jeon Jungkook/Kim Taehyung | V,Kim Namjoon | Rap Monster/Kim Seokjin | Jin,Adora/Catra (She-Ra),Bow/Glimmer (She-Ra),Dean/Castiel,Sam/Jess,Balthazar/Castiel,Hermione Granger/Ron Weasley,Ben Parker & Peter Parker,May Parker & Peter Parker,Tony Stark & Peter Parker,Hatsume Mei/Midoriya Izuku,Midoriya Izuku & Nedzu,Hatsume Mei & Shinsou Hitoshi,Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,Shinsou Hitoshi/Uraraka Ochako,Hermione Granger & Harry Potter,Sirius Black & Harry Potter,Pansy Parkinson & Harry Potter,Draco Malfoy & Harry Potter,Harry Potter & Blaise Zabini,Loki/Tony Stark,Jeon Jungkook/Park Jimin,Kim Taehyung | V/Park Jimin,Jeon Jungkook/Kim Taehyung | V/Park Jimin,Steve Harrington/Eddie Munson,Robin Buckley/Vickie,Will Byers/Mike Wheeler,"Maxine ""Max"" Mayfield/Lucas Sinclair",Jonathan Byers/Nancy Wheeler,"James ""Bucky"" Barnes/Steve Rogers",Harry/Ginny,past Draco/Astoria,Harry Potter/Original Male Character(s),wolfstar - Relationship,Merlin/Arthur Pendragon (Merlin),Hinata Shouyou/Kageyama Tobio,Midoriya Izuku & Toga Himiko,Midoriya Izuku & Okuta Kagerou | Giran,Dabi & Todoroki Shouto,Dabi & Takami Keigo | Hawks,Dabi/Takami Keigo | Hawks (If you squint),Will Graham/Hannibal Lecter,Will Graham & Hannibal Lecter,Harry Potter/Tom Riddle,Harry Potter/Tom Riddle | Voldemort,Harry Potter/Voldemort,Midoriya Inko & Midoriya Izuku,Hermione Granger & Harry Potter & Ron Weasley,Neville Longbottom & Harry Potter,Sirius Black & Remus Lupin & Harry Potter,Luna Lovegood & Harry Potter,Bakugou Katsuki & Kirishima Eijirou,Peter Parker & Avengers Team,James/Lily,Midoriya Izuku & Everyone,Allison Argent/Scott McCall,Bakugou Katsuki/Midoriya Izuku,Hasegawa Langa/Kyan Reki,Peter Parker/Wade Wilson,Deadpool/Spider-man,Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn,Katsuki Yuuri/Victor Nikiforov,Katsuki Yuuri & Victor Nikiforov,Kylo Ren/Rey,Rey/Ben Solo | Kylo Ren,Steve Rogers/Tony Stark,Wilbur Soot & Phil Watson,Harry Potter & Neville Longbottom,Sirius Black/Severus Snape,Lucius Malfoy/Narcissa Black Malfoy,Chat Noir/Ladybug,Adrien Agreste/Marinette Dupain-Cheng,a little bit of DJ/wifi,Uchiha Sasuke/Uzumaki Naruto,Hatake Kakashi/Uchiha Obito,Dai-nana-han | Team 7 & Hatake Kakashi,Hatake Kakashi & Umino Iruka,Hatake Kakashi & Shiranui Genma,Kyuubi | Nine-tails | Kurama & Uzumaki Naruto,Team 7 & Kurama,Hyuuga Neji/Nara Shikamaru,Eventual Gaara/Kimimaro,Uchiha Itachi/Uchiha Shisui,Uchiha Obito & Akatsuki,Gaara & Team 7,Sarutobi Asuma/Yuuhi Kurenai,Nagato | Pain/Yahiko,Hoshigaki Kisame & Uchiha Itachi,Uchiha Itachi & Uchiha Shisui,Sarutobi Asuma & Dai-jippan | Team 10,Yuuhi Kurenai & Team 8,Haruno Sakura/Yamanaka Ino,League of Villains & Midoriya Izuku,Midoriya Izuku & Shigaraki Tomura | Shimura Tenko,Class 1-A & Midoriya Izuku,Midoriya Izuku & Sako Atsuhiro | Mr. Compress,Hikiishi Kenji | Magne & Midoriya Izuku,Bubaigawara Jin | Twice & Midoriya Izuku,Iguchi Shuuichi | Spinner & Midoriya Izuku,Kurogiri & Midoriya Izuku,Stiles Stilinski & Laura Hale,Scott McCall & Stiles Stilinski,Matt Murdock & Peter Parker,Ranboo & Wilbur Soot & Technoblade & Phil Watson,Sam | Awesamdude & TommyInnit,Clay | Dream & GeorgeNotFound & Sapnap & TommyInnit (Video Blogging RPF),Kim Seokjin | Jin/Min Yoongi | Suga,Iwaizumi Hajime/Oikawa Tooru,Sawamura Daichi/Sugawara Koushi,Kozume Kenma/Kuroo Tetsurou,Azumane Asahi/Nishinoya Yuu,Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion,"James ""Bucky"" Barnes & Peter Parker",Peter Parker & Tony Stark,Peter Parker & Steve Rogers,"James ""Bucky"" Barnes & Tony Stark"
work_2080878,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_10057010,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_28755084,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_8337607,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_5096105,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_5457191,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_10998828,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_234222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_22080895,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_14446512,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
