work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_7292944,user-1065570,Boredom and Secrets,XxXxDarkVampirexXxX,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['M/M'],Work in Progress,02 Dec 2021,['Harry Potter/Voldemort'],"['Harry Potter', 'Voldemort', 'The Dursleys', 'The Malfoys', 'The Weasleys', 'The Order - Character', 'Death Eaters - Character', 'Hogwarts Students', 'Hogwarts Staff']","['Humour', 'Romance', 'Mentions of abuse but nothing detailed hopefully', 'Crack', 'Crack Treated Seriously', 'Morally Grey Harry Potter']","A very bored Harry Potter starts writing to the Dark Lord over the summer after his fifth year at Hogwarts. An equally bored Voldemort decides to write back. And thus, a summer of secrets is born, and the enemy named boredom is fended off.",English,41379,57/?,2653,6929,1421,136505
work_7869079,user-2406442,Blends,rvltn909,['Harry Potter - J. K. Rowling'],Mature,['No Archive Warnings Apply'],['M/M'],Complete Work,27 Oct 2016,"['Sirius Black/Remus Lupin', 'James Potter/Lily Evans']","['Remus Lupin', 'Sirius Black', 'James Potter', 'Lily Evans', 'Peter Pettigrew', 'Dorcas Meadowes', 'Mary Macdonald', 'Marlene McKinnon']","['Alternate Universe - Coffee Shops & Cafés', 'Alternate Universe - College/University', 'Slice of Life', 'Hurt/Comfort', 'Slow Burn']","Words got in the way sometimes, but Remus got the sense Sirius knew what he was trying to say.",English,187656,22/22,1500,6924,2453,257300
work_4666485,user-98313,Ghostly Request,Genuka,['Harry Potter - J. K. Rowling'],Mature,['Graphic Depictions Of Violence'],['M/M'],Complete Work,16 Mar 2017,"['Lucius Malfoy/Harry Potter/Severus Snape/Voldemort', 'Lucius Malfoy/Harry Potter/Tom Riddle/Severus Snape', 'Lucius Malfoy/Harry Potter/Severus Snape', 'Lucius Malfoy/Harry Potter/Tom Riddle', 'Lucius Malfoy/Harry Potter/Voldemort', 'Harry Potter/Severus Snape/Voldemort', 'Harry Potter/Tom Riddle/Severus Snape', 'Lucius Malfoy/Severus Snape', 'Lucius Malfoy/Harry Potter', 'Lucius Malfoy/Tom Riddle', 'Lucius Malfoy/Voldemort', 'Harry Potter/Severus Snape', 'Severus Snape/Voldemort', 'Tom Riddle/Severus Snape', 'Harry Potter/Tom Riddle | Harry Potter/Voldemort']","['Harry Potter', 'Severus Snape', 'Tom Riddle | Voldemort', 'Voldemort', 'Tom Riddle', 'Malfoy Family (Harry Potter)']","['Magical Deals', 'Harry Potter is a Horcrux', 'Horcruxes', 'Abusive Dursley Family', 'Sane!Voldemort', 'Foursome - M/M/M/M', 'Creature Fic', 'Bunny Farm Escapee']","Getting told off by one of your most famous victims is one thing, discovering that you are suddenly in charge of her abused son is quite another. Especially when you discover that one of your most loyal servants is bound to protect him because he is bound to protect and serve you... now how did that happen?",English,32465,14/14,510,6913,1548,158553
work_16756768,user-35202,Fruit of the Golden Tree,Lomonaaeren,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],['Gen'],Complete Work,29 Nov 2018,['Euphemia Potter/Fleamont Potter'],"['Fleamont Potter', 'Harry Potter', 'Severus Snape', 'Sirius Black', 'Peter Pettigrew']","['Alternate Universe - Canon Divergence', 'Minor Character Death', 'Violence', 'Harry Potter was Raised by Other(s)', 'Ruthless Fleamont Potter', 'Angst']","Thanks to the desperate actions of his wife, Fleamont Potter survived his dragonpox. Now he finds himself awake again in a world where all the members of his family are supposedly dead—except that the Potter family tree tells him that his grandson lives yet. Fleamont sets out on a search for his grandson, and then a quest to keep him safe once he’s found him.",English,11884,3/3,383,6911,1127,68159
work_26134510,user-3861138,A Thing With[out] Feathers,senlinyu,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['F/M'],Complete Work,18 Oct 2020,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Draco Malfoy', 'Original Veela Character(s)', 'Harry Potter', 'Ron Weasley']","['Veela Mates', 'Veela Hermione Granger', 'Wing Kink', 'Fake/Pretend Relationship', 'Explicit Sexual Content', 'Spells & Enchantments', 'Unplanned Pregnancy', 'Mutual Pining', 'Idiots in Love', 'Ministry of Magic Employee Hermione Granger', 'Manipulation', 'Orgasm Delay/Denial', 'Pining Draco Malfoy', 'Oblivious Hermione Granger', 'Miscommunication', 'Romantic Comedy', 'Fluff and Crack', 'Magical Creatures', 'idiot plot']","Hermione is determined to have her cake and eat it too. Since arriving at the Ministry, she’s been on an unswerving path to the top. When a workplace accident leaves her with Veela wings attached to her back, her plans are derailed. Why is this happening to her? And why is Draco so interested?",English,18253,5/5,587,6910,1325,126094
work_22232683,user-6380830,The Binding,Curly_Kay,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],"['F/M', 'M/M']",Complete Work,19 Jul 2020,"['Hermione Granger/Draco Malfoy', 'Theodore Nott/Harry Potter', 'Luna Lovegood/Blaise Zabini']","['Hermione Granger', 'Draco Malfoy', 'Theodore Nott', 'Blaise Zabini', 'Narcissa Black Malfoy', 'Harry Potter', 'Pansy Parkinson', 'Andromeda Black Tonks', 'Crookshanks (Harry Potter)', 'Dolores Umbridge', 'Ron Weasley', 'Luna Lovegood', 'Lucius Malfoy', 'Dean Thomas', 'Charles the Peacock', 'Amelia the Hufflepuff', 'Whimpering Wendy']","['Rituals', 'Soul Bond', 'Runes', 'Harry Potter Epilogue What Epilogue | EWE', 'Hogwarts Era', 'Loss of Virginity', 'Humor', 'Romance', 'Falling In Love', 'The Noble and Most Ancient House of Black', 'Soulmate-Identifying Marks', 'Secret Relationship', 'Sexual Content', 'Blood Magic', 'Angst with a Happy Ending', '6th Year is Rough', 'Sassy Hufflepuff', 'Love of Chocolate', 'Banter', 'SO MUCH BANTER', 'Sweetheart Draco', 'Vigilante Peacock', 'Canon-Typical Violence', 'Fluff and Smut']","“Okay, what we know so far.” Hermione listed, ""One, our magic is drawing us together. Two, we can use each other’s wands. Three, there were actual sparks when you touched me.""",English,175451,35/35,2108,6903,2679,318773
work_22144981,user-51893,"The Same, But Different",SomewheresSword,['Harry Potter - J. K. Rowling'],Mature,['Underage'],"['F/M', 'M/M']",Complete Work,03 Apr 2020,"['Cedric Diggory/Harry Potter', 'Neville Longbottom/Luna Lovegood']","['Harry Potter', 'Cedric Diggory', 'Luna Lovegood', 'Neville Longbottom', 'Hogwarts Founders']","['Reincarnated Hogwarts Founders', 'Harry Potter is Salazar Slytherin', 'Goblet of Fire AU', 'Gender Dysphoria', 'Gender Non-Conforming Cedric Diggory']","Harry spends the whole summer before fourth year feeling restless. He chalks it up to the weird dreams he's been having, assuming Voldemort is responsible. And for some dreams, that's true - but what about the other ones? The ones that feel... familiar?",English,90582,25/25,563,6901,2378,104590
work_14139486,user-9,Harry Potter and the Center of the Maze,orphan_account,['Harry Potter - J. K. Rowling'],Not Rated,['Choose Not To Use Archive Warnings'],"['F/F', 'F/M', 'M/M']",Complete Work,15 Aug 2018,"[""I'm not going to say because you get to be surprised""]","['Harry Potter', 'Hermione Granger', 'Theodore Nott', 'Blaise Zabini', 'Pansy Parkinson', 'Daphne Greengrass', 'Neville Longbottom', 'Justin Finch-Fletchley', 'Draco Malfoy', 'Severus Snape', 'Albus Dumbledore', 'James Potter', 'Augusta Longbottom', 'Original Female Character(s)', 'Original Male Character(s)', 'Ron Weasley', 'Astoria Greengrass', 'Jules Potter - Character']","['Slytherin Harry', 'Slytherin Harry Potter', 'Gray Harry', 'Grey Harry', 'Gray Harry Potter', 'Grey Harry Potter', 'Triwizard Tournament', 'Goblet of Fire (rewrite)', 'Slytherin Politics', 'WBWL', 'Harry is not the boy who lived', 'Or Is he?', ""we don't know"", ""other people don't think it's him anyway"", ""Snape's still a dick but getting less so"", 'Dumbledore Bashing', 'James Potter Bashing', 'Ron Weasley Bashing']","It is Harry Potter's fourth year at Hogwarts School of Witchcraft and Wizardry. With international politics, someone out to kill Jules Potter, the Boy Who Lived, and Slytherin House's internal drama, this year seems pretty standard. ",English,215633,22/22,2099,6899,583,192084
work_23815003,user-4550762,Everything Black,General_Jellyfish,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,09 Jun 2022,"['Draco Malfoy/Harry Potter', 'Draco Malfoy & Harry Potter', 'Harry Potter & Ron Weasley', 'Hermione Granger & Harry Potter', 'Neville Longbottom & Harry Potter']","['Harry Potter', 'Draco Malfoy', 'Ron Weasley', 'Hermione Granger', 'Neville Longbottom', 'Severus Snape', 'Albus Dumbledore', 'Minerva McGonagall', 'Tom Riddle | Voldemort', 'Fred Weasley', 'George Weasley']","['Time Travel', 'Alternate Universe - Canon Divergence', 'I had an idea and I decided to roll with it', 'Fix-It', 'I plan to fix everything through time travel', 'King of Sarcasm Harry', 'King of Snobbery Draco', 'BAMF Harry (kind of)', 'Smart Harry', ""Book 1: Harry Potter and the Philosopher's Stone"", 'slight PTSD', 'Meddling Albus Dumbledore', 'Slight Albus Dumbledore bashing', ""Harry's Minions"", ""one does not simply accidentally time travel (unless you're harry)"", 'Feels', 'Fluff', 'Ron Weasley is a Good Friend', 'he still had problems but then again so does the rest of the world', 'Hermione Granger is a Good Friend', 'Sassy Harry Potter', 'Quirrelmort']","If you had a chance to do it over again, make things better, would you take it?",English,66319,18/18,870,6877,1673,177229
work_7637125,user-937673,"Shake it, Bake it, Brew it",Blackkitten23,['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,10 May 2019,['Draco Malfoy/Harry Potter'],"['Severus Snape', 'Albus Dumbledore']","['Explicit Sexual Content', 'Child Abuse', 'Attempted Murder', 'Explicit Language', 'Mpreg']","Between trauma after being attacked by Quirrell, harsh comments from Snape and being told he has to go back to the Durselys, Harry has had enough. This summer he starts kicking back and watches as Dumbledore’s carefully laid plans for him crumble",English,139774,32/32,818,6875,2100,188094
work_563690,user-61262,Of Cinema and Sticky Notes,bluepeony,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,15 Nov 2012,['Sirius Black/Remus Lupin'],"['Sirius Black', 'Remus Lupin', 'James Potter', 'Peter Pettigrew', 'Frank Longbottom', 'Kingsley Shacklebolt']",['Marauders'],"Remus Lupin is the office bore. Sirius Black is the office sweetheart. They fancy each other, on a purely aesthetic level.",English,12452,3/3,144,6872,1048,92427
