work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_14515683,user-496660,Don't Trust Dumbledore,nobodyzhuman,['Harry Potter - J. K. Rowling'],Not Rated,['Choose Not To Use Archive Warnings'],['M/M'],Work in Progress,27 Oct 2021,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Ron Weasley', 'Hermione Granger', 'Severus Snape', 'Sirius Black', 'Remus Lupin', 'Fred Weasley', 'George Weasley', 'Molly Weasley', 'Ginny Weasley', 'Charlie Weasley', 'Bill Weasley', 'Albus Dumbledore', 'Lucius Malfoy', 'James Potter', 'Lily Evans Potter', 'Tom Riddle | Voldemort', 'Do I have to name everyone lol', 'to many']","['Time Travel', 'Magical Inheritance', 'Manipulative Albus Dumbledore', 'Dumbledore Bashing', 'Molly Weasley Bashing', 'Hermione Granger Bashing', 'Enemies to Friends to Lovers', ""Marauders' Era"", 'Kinda', 'Add more as i go', 'Dom/sub']","It started with a letter, well note really, from his godfather over summer break.",English,117728,50/?,1158,5986,1826,168119
work_644421,user-6004,Never Have I Ever,Faith Wood (faithwood),['Harry Potter - J. K. Rowling'],General Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,18 Jan 2013,['Draco Malfoy/Harry Potter'],"['Draco Malfoy', 'Harry Potter']","['Hogwarts Eighth Year', 'Fluff']",Written for the 1 word prompt Comment Fest for the prompt shots.,English,690,1/1,45,5983,303,86843
work_12029172,user-8617,Pyrite,geoffaree,['Harry Potter - J. K. Rowling'],General Audiences,['No Archive Warnings Apply'],['Gen'],Complete Work,15 Feb 2018,['No Relationship Tags'],"['Harry Potter', 'Severus Snape', 'Blaise Zabini', 'Millicent Bulstrode', 'Draco Malfoy', 'OCs']","['Alternate Universe', 'Slytherin Harry', 'Parseltongue']","Harry and his snake's first summer away from the Dursleys and second year at Hogwarts. Featuring an awkward summer, an even more useless Defense professor than the one that had spent a year trying to murder him, a voice in the walls, a slew of petrified children, and a mysterious diary that seems oddly compelling.",English,133674,22/22,1610,5978,471,107942
work_621717,user-9,Waiting to Divide,emynn (orphan_account),['Harry Potter - J. K. Rowling'],Explicit,['No Archive Warnings Apply'],['M/M'],Complete Work,03 Jan 2013,"['Harry Potter/Severus Snape', 'Hermione Granger/Ron Weasley']","['Harry Potter', 'Severus Snape', 'Hermione Granger', 'Ron Weasley']",['Time Travel'],"Harry always thought soul mates were the domain of overly-soppy romantics. What he didn't realise was that they were very real, very dangerous, and very inconvenient...especially when your soul mate is the very dead Severus Snape. Fortunately, with the help of his friends and a Time Portal, he's able to get past that pesky obstacle...and finds his life completely changed.",English,22674,1/1,150,5974,1280,77384
work_27893932,work-27893932,the best laid plans,Anonymous,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['Gen'],Work in Progress,13 Aug 2022,"['Nagini & Harry Potter', 'Nagini & Tom Riddle | Voldemort', 'Harry Potter & Tom Riddle | Voldemort', 'Hermione Granger & Harry Potter & Ron Weasley', 'Harry Potter & Tom Riddle', 'Harry Potter & Voldemort']","['Harry Potter', 'Nagini (Harry Potter)', 'Tom Riddle | Voldemort', 'Ron Weasley', 'Hermione Granger', 'Sirius Black']","['Alternate Universe - Canon Divergence', 'Crack', 'Parselmouth Harry Potter', 'Parseltongue', 'Friendship', 'Swearing', 'lots of swearing', 'Explicit Language', 'Nagini has a potty mouth', 'Unconventional Families', 'Emotional Constipation', 'Canonical Child Abuse', 'Book 5: Harry Potter and the Order of the Phoenix', 'Harry Potter Needs a Hug', 'Nagini Adopts Harry', 'Hogwarts Fifth Year', 'Hijinks & Shenanigans']","“Hello dickhead,” hisses Nagini. ""I am here to report your location and abysmally boring daily life back to Tom so he can find a way to kill you faster and more painfully. At least then he’ll give me more rabbits, because hunting is a pain in the arse and those nimble little pieces of shit are bloody tiring to catch.”",English,39184,7/?,672,5972,1745,70018
work_433140,user-9,A Snake Named Voldemort,orphan_account,['Harry Potter - J. K. Rowling'],Mature,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,23 Apr 2014,"['Harry Potter/Tom Riddle', 'Harry Potter/Voldemort']","['Voldemort', 'Harry Potter', 'Albus Dumbledore', 'Severus Snape', 'Bellatrix Lestrange', 'Hermione Granger', 'Ron Weasley', 'Lucius Malfoy', 'Tom Riddle', 'Draco Malfoy']","['Humor', 'Seriousness', 'Mild Angst', 'Finally complete here', 'Harry stays good', 'Dumbledore is not evil', 'Voldemort gets a reality check']","After being turned into a snake and unable to change back, Lord Voldemort is forced to turn to the only other living Parselmouth, Harry Potter. After making a deal, Harry agrees to help the Dark Lord return to his human form. SLASH HP/LVTMR",English,173220,24/24,401,5972,2224,152904
work_9663536,user-16139,through the cracks in reverse,blackkat,"['Naruto', 'Harry Potter - J. K. Rowling']",Mature,['Choose Not To Use Archive Warnings'],"['F/F', 'F/M', 'Gen', 'M/M']",Complete Work,27 Feb 2018,"['Hatake Sakumo/Orochimaru', 'Hyuuga Hiashi/Uchiha Fugaku', 'Hatake Kakashi/Kyuubi | Nine-tails | Kurama', 'Uchiha Mikoto/Uzumaki Kushina', 'Momochi Zabuza/Gekkou Hayate', 'Uchiha Shisui/Kyuubi | Nine-tails | Kurama', 'Kyuubi | Nine-tails | Kurama/Uzumaki Kushina/Namikaze Minato', 'Hoshigaki Kisame/Uchiha Obito', 'Kyuubi | Nine-tails | Kurama/Shiranui Genma/Namiashi Raidou']","['Hatake Sakumo', 'Hatake Kakashi', 'Hyuuga Hiashi', 'Kyuubi | Nine-tails | Kurama', 'Orochimaru (Naruto)', 'Uchiha Mikoto', 'Uzumaki Kushina', 'Uchiha Shisui', 'Uchiha Fugaku', 'Fuu (Naruto)', 'Uzumaki Naruto', 'Gaara (Naruto)', 'Nii Yugito', 'Nagato | Pain', 'Harry Potter', 'Tom Riddle | Voldemort', 'Momochi Zabuza', 'Gekkou Hayate', 'Namikaze Minato', 'Uchiha Obito', 'Hoshigaki Kisame', 'Shiranui Genma']","['Alternate Universe - Canon Divergence', 'Humor', 'Angst', 'Ridiculousness', 'Fanfiction of Fanfiction']","Various AU/non-canon drabbles connected to reverse, featuring crack, crossovers, ridiculous ships, and very little in the way of sense.",English,17008,11/11,623,5970,503,96317
work_33474004,user-8002765,If we could turn back time,MBlack93,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,05 Mar 2022,['Harry Potter/Tom Riddle'],"['Harry Potter', 'Tom Riddle', 'Albus Dumbledore', 'Armando Dippet', 'Portrait Phineas Nigellus Black', 'Abraxas Malfoy', 'Orion Black', 'Original Female Character(s)', 'Original Greengrass Characters (Harry Potter)', 'Original Lestrange Characters (Harry Potter)', 'Death (Harry Potter)', 'Gellert Grindelwald', 'Nagini (Harry Potter)']","['Tags Contain Spoilers', 'Master of Death Harry Potter', 'Death', 'Magically Powerful Harry Potter', 'Slytherin Harry Potter', 'Manipulation', 'Minor Albus Dumbledore/Gellert Grindelwald', 'Manipulative Albus Dumbledore', 'Possessive Tom Riddle', 'Time Travel Fix-It', 'Time Travel', 'Time Travelling Harry Potter', 'Pureblood Politics (Harry Potter)', 'Sane Tom Riddle', 'Young Tom Riddle', 'POV Tom Riddle', 'POV Harry Potter', 'Morally Grey Harry Potter', 'BAMF Harry Potter', 'Harry Potter is a Little Shit', 'but we love him!', 'Explicit Sexual Content', 'In later chapters - Freeform', 'Parselmouth Harry Potter', 'Parselmouths & Parseltongue (Harry Potter)', 'Knights of Walpurgis (Harry Potter)', 'Anal Sex', 'Fluff']","When Harry is called to the Headmasters office at the beginning of his sixth year he isn't sure what to expect. He at least  really didn't see it coming that he would become Master of Death, travel back in time to become someone else, and more importantly to stop Voldemort before he would be lost to the monster.",English,54298,7/7,434,5966,1353,102401
work_14586408,user-9,"The Barista, the Burglar, and the Sofa",orphan_account,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,09 May 2018,"['Sirius Black/Remus Lupin', 'James Potter/Lily Evans Potter', 'James Potter & Lily Evans Potter', 'Sirius Black & Remus Lupin']","['Remus Lupin', 'Sirius Black', 'James Potter', 'Lily Evans Potter', 'Peter Pettigrew']","['Brief Mention of a Suicide', 'Modern Era', 'Alternate Universe - Non-Magical', 'Alternate Universe - Coffee Shops & Cafés', 'Fluff and Smut', 'Remus has anxiety problems']","This is the story of twenty-three year old Remus Lupin, an overworked graduate student and underpaid barista, who comes home one day to find an exceptionally attractive man has broken into his flat.  Given the neighborhood he lives in, that isn’t a huge surprise.  He is surprised, though, when the burglar comes back with a sofa.",English,21344,1/1,355,5964,1615,64504
work_16744939,user-1508393,I Know We Can Make It Better Than It Ever Was,DreamingDemon,"['Harry Potter - J. K. Rowling', 'The Avengers (Marvel) - All Media Types']",Teen And Up Audiences,['Choose Not To Use Archive Warnings'],"['F/M', 'M/M']",Work in Progress,04 Apr 2021,"['Loki (Marvel)/Harry Potter', 'Other Relationship Tags to Be Added']","['Harry Potter', 'Loki (Marvel)', 'Thor (Marvel)', 'Tony Stark', 'Pepper Potts', 'Steve Rogers', 'James ""Bucky"" Barnes', 'Clint Barton', 'Natasha Romanov (Marvel)', 'Bruce Banner', 'Odin (Marvel)', 'Death (Harry Potter)', 'Frigga | Freyja (Marvel)', 'Other Character Tags to Be Added', 'Jane Foster (Marvel)', 'Darcy Lewis', 'Pietro Maximoff', 'Wanda Maximoff']","['Not Canon Compliant', 'World Travel', 'Slow Burn', 'Fix-It of Sorts', 'Other Additional Tags to Be Added']","What was left when you’d outlived everyone you’d ever known and found the world moving on as you slipped into the background, forever to watch but never again participate?",English,48978,32/?,505,5960,1902,127010
