,work_id,user_id,title,rating,summary,language,words,comments,kudos,bookmarks,hits,completed,chapters_written,chapters_total,datetime_updated
0,work_10057010,user-2878526,All the Young Dudes,Mature,"LONG fic charting the marauders' time at Hogwarts (and beyond) from Remus' PoV - diversion from canon in that Remus's father died and he was raised in a children's home, and is a bit rough around the edges. Otherwise canon-compliant.1971 - 1995",English,526969,27201,124810,25406,8502144,True,188,188,2018-11-12
1,work_234222,user-6004,Then Comes a Mist and a Weeping Rain,Explicit,It always rains for Draco Malfoy. Metaphorically. And literally. Ever since he had accidentally Conjured a cloud. A cloud that's ever so cross.,English,21139,926,53452,10382,638984,True,1,1,2011-08-04
2,work_14454174,user-3861138,Manacled,Explicit,"Harry Potter is dead. In the aftermath of the war, in order to strengthen the might of the magical world, Voldemort enacts a repopulation effort. Hermione Granger has an Order secret, lost but hidden in her mind, so she is sent as an enslaved surrogate to the High Reeve until her mind can be cracked. ",English,370515,11018,45234,12960,2838883,True,77,77,2019-08-19
3,work_3101099,user-276513,The Standard You Walk Past,Mature,"On returning to Hogwarts for their Eighth Year, Headmistress McGonagall decided to room Draco Malfoy and Harry Potter together. She may have hoped for a leading example of house unity; the other students fully expected insults and fights. But nothing happened.",English,46202,3048,42295,8204,666708,True,14,14,2015-03-12
4,work_12006417,user-53377,survival is a talent,Teen And Up Audiences,"In the middle of their second year, Draco and Harry discover they're soulmates and do their best to keep it a secret from everyone. ",English,456184,12283,41009,13535,1595527,False,29,,2022-05-10
5,work_2734082,user-2680,Tea and No Sympathy,Explicit,"It's Potter's fault, of course, that Draco finds himself trapped in the same twenty-four-hour period, repeating itself over and over again. It's been nearly a year since the unpleasant business at Hogwarts, and Draco's getting on with his life quite nicely, thank you, until Harry sodding Potter steps in and ruins it all, just like always. At first, though, the time loop seems liberating. For the first time in his life, he can do anything, say anything, be anything, without consequence. But the more Draco repeats the day, the more he realises the uncomfortable truth: he's falling head over heels for the speccy git. And suddenly, the time loop feels like a trap. For how can he ever get Harry to love him back when time is, quite literally, against him?",English,70045,1802,40154,10317,624037,True,11,11,2014-12-23
6,work_4371455,user-88480,hello goodbye ('twas nice to know you),Teen And Up Audiences,"Draco Malfoy thinks he might know whose thoughts are scrawling themselves on his skin, but that's crazy. Impossible, even. It has to be a mistake.",English,4807,435,39038,5021,480804,True,1,1,2015-07-19
7,work_7331278,user-192807,Hermione Granger's Hogwarts Crammer for Delinquents on the Run,Teen And Up Audiences,"'You're a wizard, Harry' is easier to hear from a half-giant when you're eleven, rather than from some kids on a tube platform when you're seventeen and late for work.",English,93391,2799,37077,12743,742919,True,8,8,2017-05-21
8,work_20049589,user-4758,Evitative,Teen And Up Audiences,"In the summer before his fifth year at Hogwarts, Harry is drawn to a room in Grimmauld Place. Like the Gryffindor he is, he enters the room without fear. The room is a library, and Harry is surprised to find that he’s eager to learn. ",English,222453,5475,36234,10422,942232,True,29,29,2020-02-17
9,work_485218,user-6004,Storm in a Teacup,Mature,"For reasons he'd rather not think about, Draco is obsessed with Potter's hair. This cannot end well.",English,7954,446,36143,5700,357230,True,1,1,2012-08-13
10,work_3171550,user-203828,Running on Air,Teen And Up Audiences,Draco Malfoy has been missing for three years. Harry is assigned the cold case and finds himself slowly falling in love with the memories he collects.,English,74875,3616,34748,11681,664126,True,17,17,2014-12-25
11,work_1227880,user-211835,All Our Secrets Laid Bare,Explicit,"Over the six years Draco Malfoy has been an Auror, four of his partners have turned up dead. Harry Potter is assigned as his newest partner to investigate just what is going on.",English,149549,3155,34430,10760,799527,True,16,16,2014-02-23
