work_id,user_id,title,username,fandoms,rating,warnings,slash_categories,status,date_updated,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
work_28952232,user-3861138,Cordial Enemies,senlinyu,['Harry Potter - J. K. Rowling'],Mature,['No Archive Warnings Apply'],['F/M'],Work in Progress,27 Jun 2021,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Draco Malfoy', 'Blaise Zabini', 'Ginny Weasley', 'Ron Weasley', 'Pansy Parkinson']","['Harry Potter Epilogue What Epilogue | EWE', 'Inspired by Bridgerton (TV)', 'Fake/Pretend Relationship', 'Unresolved Sexual Tension', 'Enemies to Lovers', 'Ministry of Magic Employee Draco Malfoy', 'Ministry of Magic Employee Hermione Granger', 'There Was Only One Bed', 'inappropriate removal of winter gloves', 'Press and Tabloids', 'Explicit Sexual Content', 'Draco Malfoy Has A Large Library', 'Partially inspired by real events', 'Co-workers']",No summary,English,50926,11/?,1269,6438,1759,195867
work_10714227,user-223228,"Matchmaker, Matchmaker",Watermelonsmellinfellon,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,24 Apr 2017,['Harry Potter/Tom Riddle'],"['Harry Potter', 'Tom Riddle', 'Nagini']","['Nagini is a Matchmaker', 'Humor', 'Poor Insults', 'AU', 'Alternate Universe - Modern Setting', 'tomarry - Freeform', 'Parseltongue', 'Harry is a Parselmouth', 'No Death Eaters', 'Nagini is a little fucker', 'Mild Language', 'Alternate Universe - No Voldemort']",No summary,English,1948,1/1,90,6432,954,56115
work_13622355,user-2915225,The Best,say_no_more,['Harry Potter - J. K. Rowling'],Explicit,['Choose Not To Use Archive Warnings'],['M/M'],Complete Work,12 Nov 2020,['Harry Potter/ Cedric Diggory'],['No Character Tags'],"['Alternate Universe', 'Book 4: Harry Potter and the Goblet of Fire', 'Dark Cedric - Freeform', 'm/m - Freeform', 'Underage - Freeform', 'Possessive Cedric', 'Protective Cedric', 'Manipulative Cedric', 'Slytherin!Cedric']",No summary,English,90054,42/42,770,6429,2161,132175
work_6419452,user-215966,Walking Dead Wizard,DebsTheSlytherinSnapeFan,"['The Walking Dead (TV)', 'Harry Potter - J. K. Rowling']",Mature,['Graphic Depictions Of Violence'],"['F/M', 'M/M', 'F/F']",Work in Progress,06 Sep 2022,"['Daryl Dixon/Harry Potter', 'Maggie Greene/Glenn Rhee', 'Lori Grimes/Rick Grimes', 'Lori Grimes/Shane Walsh', 'Merle Dixon/Luna Lovegood']","['Daryl Dixon', 'Merle Dixon', 'Harry Potter', 'Rick Grimes', 'Theodore ""T-Dog"" Douglas', 'Carol Peletier', 'Lori Grimes', 'Carl Grimes', 'Sophia Peletier', 'Ed Peletier', 'Glenn Rhee', 'Maggie Greene', 'Beth Greene', 'Hershel Greene', 'Luna Lovegood', 'Hermione Granger', 'Severus Snape', 'Michonne (Walking Dead)', 'Andre Anthony', 'Patrick (Walking Dead)', 'Luke (Walking Dead: Prison)', 'Chloe(Walking Dead: Prison', 'Mira(OFC)', 'Axel (Walking Dead)', 'Oscar (Walking Dead: Prison)', 'Big Tiny (Walking Dead)']",['mention of non-con'],No summary,English,511782,120/?,3470,6423,1733,329107
work_4152630,user-27278,Don't Blame Me (It Was All a Blur Last Night),nerakrose,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],['M/M'],Complete Work,17 Jun 2015,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy', 'Astoria Greengrass', 'Teddy Lupin']","['Accidental Marriage', 'Raising Teddy Lupin', 'H/D Smoochfest', 'Slow Build', 'Eventual Romance', 'Potioneer Draco', 'Auror Harry Potter', 'BAMF Astoria Greengrass', 'Slow Burn', 'Domestic', 'Domestic Fluff', 'No Angst', 'light depression themes', 'no infidelity', 'Genderfluid Character']",No summary,English,18976,1/1,240,6422,1074,72416
work_10567863,user-2906525,Two For One,Ourliazo,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,['No Archive Warnings Apply'],"['Gen', 'M/M']",Work in Progress,09 Sep 2022,"['Harry Potter & Death', 'Harry Potter & Tom Riddle | Voldemort', 'Gellert Grindelwald & Harry Potter', 'Gellert Grindelwald & Tom Riddle | Voldemort', 'Albus Dumbledore & Harry Potter', 'Credence Barebone & Harry Potter']","['Harry Potter', 'Death (Harry Potter)', 'Tom Riddle | Voldemort', 'Gellert Grindelwald', 'Albus Dumbledore', 'Credence Barebone', ""Credence Barebone's Obscurus"", 'Unspeakable Characters (Harry Potter)']","['Fluff and Humor', 'Possessive Tom Riddle', 'Possessive Gellert Grindelwald', 'Conditioning and Indoctrination', '(but in a nice way to make them good people)', 'Harry Is Less Oblivious Than People Think', ""But He's Still Pretty Dense"", 'Death Is A Dick To Harry', 'Manipulative Tom Riddle', 'Manipulative Gellert Grindelwald', 'Manipulative Harry Potter (or at least he tries)', ""Exasperated 'Only Responsible Adult' Harry"", 'Tom Riddle and Gellert Grindelwald are Brothers', 'Child Tom Riddle', 'Child Gellert Grindelwald', 'Time Travel', 'Time Travel Fix-It', 'Parallel Universes', 'Child Credence Barebone', 'Young Albus Dumbledore']",No summary,English,69399,61/63,1477,6420,1585,150953
work_7710172,user-1221814,Lions VS Snakes,elvirakitties,['Harry Potter - J. K. Rowling'],Not Rated,['No Archive Warnings Apply'],['M/M'],Work in Progress,23 Apr 2022,"['Harry Potter & Severus Snape', 'Harry Potter/Severus Snape']","['Harry Potter', 'Severus Snape', 'Albus Dumbledore', 'Alastor “Mad-Eye” Moody', 'Minerva McGonagall', 'Igor Karkaroff', 'Olympe Maxime', 'Bartemius Crouch Jr.', 'Bartemius Crouch Sr.', 'Ludo Bagman', 'Fleur Delacour', 'Viktor Krum', 'Cedric Diggory', 'Ron Weasley', 'Hermione Granger', 'The Dursleys', 'The Weasleys']","['Smart Harry Potter', 'Good Severus Snape', 'Top Harry', 'Bottom Severus Snape', 'Manipulative Dumbledore', 'Dumbledore Bashing', 'Bad Dumbledore', ""I'm Bad At Tagging"", 'Alternate Universe - Canon Divergence', 'Other Additional Tags to Be Added']",No summary,English,45309,20/?,1072,6414,1783,177478
work_830080,user-48507,Registration,copperbadge,['Harry Potter - J. K. Rowling'],General Audiences,['No Archive Warnings Apply'],['Gen'],Complete Work,26 Aug 2003,['No Relationship Tags'],"['Remus Lupin', 'Sirius Black', 'Minerva McGonagall']",['Humor'],No summary,English,6320,1/1,200,6412,1484,47030
work_14253384,user-3991200,The Power of Seven,VelvetInferno,['Harry Potter - J. K. Rowling'],Explicit,['Underage'],"['F/F', 'F/M', 'Multi']",Complete Work,03 Apr 2021,"['Harry Potter/Ginny Weasley', 'Hermione Granger/Harry Potter', 'Luna Lovegood/Harry Potter', 'Harry Potter/Demelza Robins', 'Susan Bones/Harry Potter', 'Katie Bell/Harry Potter', 'Fleur Delacour/Harry Potter', 'Harry Potter/Multi', 'Harry Potter/Harem']","['Harry Potter', 'Ginny Weasley', 'Hermione Granger', 'Luna Lovegood', 'Ron Weasley', 'Demelza Robins', 'Susan Bones', 'Katie Bell', 'Fleur Delacour', 'Albus Dumbledore']","['lots of explicit sex', 'magic is used creatively', 'lots of kinks are explored', 'I maintain characterizations as much as possible', 'bonuses: Plot! Character development!', 'but yeah lots of sex too', 'Polyamory', 'Shameless Smut', 'Soul Bond', 'Light BDSM', 'Cuckquean', 'Voyeurism', 'D/s', 'Dom/sub', 'And Much More - Freeform', 'Harem', 'Threesome - F/F/M', 'Oral Sex', 'Cunnilingus', 'Masturbation', 'Blow Jobs', 'Cum Play', 'Foursome - F/F/F/M', 'Light F/F', 'Dom/sub Play', 'Sex Magic', 'Breast Fucking', 'Vaginal Fingering', 'mdom', 'Fdom', 'Switching', 'Character Death', 'Implied/Referenced Rape/Non-con', 'Torture', 'Orgy', 'Mental Link', 'Fluff and Smut']",No summary,English,283598,81/81,2857,6408,1529,918937
work_1300453,user-68662,Son Of The Champion,sar_kaz_m,"['Marvel Cinematic Universe', 'The Avengers (Marvel Movies)', 'Harry Potter - J. K. Rowling']",Mature,['No Archive Warnings Apply'],"['M/M', 'F/M', 'Gen']",Work in Progress,12 Dec 2020,['Clint Barton/Phil Coulson'],"['Phil Coulson', 'Clint Barton', 'Harry Potter', 'Nick Fury', 'Maria Hill', 'Natasha Romanov', 'Jasper Sitwell', 'Remus Lupin']","['eventual clint barton/phil coulson - Freeform', 'Fluff', 'Angst', 'Slow Build', 'Crossover', 'Implied/Referenced Child Abuse', 'Get Together', 'Mild Language', 'Closeted Character', 'Internalized Homophobia', 'Coming Out', 'Kid Fic', 'Explicit Language', 'Magic', 'Magic Revealed', 'Politics']",No summary,English,64982,21/?,1199,6404,2367,148489
